,<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Dr..Abidi.Lab.,20010325,26000.0,26000.0,24885.0,24885.0,112766576,4520,22,D,26000.0,24885.0
1,Dr..Abidi.Lab.,20010326,24885.0,24885.0,24885.0,24885.0,1119825,45,2,D,24885.0,24885.0
2,Dr..Abidi.Lab.,20010408,25000.0,25000.0,25000.0,25000.0,50000000,2000,5,D,24885.0,25000.0
3,Dr..Abidi.Lab.,20010410,25003.0,25003.0,25003.0,25003.0,1750210,70,1,D,25000.0,25003.0
4,Dr..Abidi.Lab.,20010415,25010.0,25010.0,25010.0,25010.0,3001200,120,1,D,25003.0,25010.0
5,Dr..Abidi.Lab.,20010418,25035.0,25035.0,25034.0,25034.0,28038880,1120,2,D,25010.0,25034.0
6,Dr..Abidi.Lab.,20010421,25200.0,25300.0,25200.0,25300.0,77464000,3070,11,D,25034.0,25300.0
7,Dr..Abidi.Lab.,20010422,25400.0,25500.0,25400.0,25500.0,147521600,5804,15,D,25300.0,25500.0
8,Dr..Abidi.Lab.,20010423,25500.0,25600.0,25500.0,25600.0,51100000,2000,3,D,25500.0,25600.0
9,Dr..Abidi.Lab.,20010424,25700.0,25700.0,25700.0,25700.0,1919687200,74696,7,D,25600.0,25700.0
10,Dr..Abidi.Lab.,20010425,25701.0,25702.0,25701.0,25701.0,1439266,56,3,D,25700.0,25701.0
11,Dr..Abidi.Lab.,20010429,26001.0,26003.0,26001.0,26002.0,36688369,1411,6,D,25701.0,26002.0
12,Dr..Abidi.Lab.,20010430,26005.0,26008.0,26005.0,26007.0,4056960,156,3,D,26002.0,26007.0
13,Dr..Abidi.Lab.,20010501,26200.0,26210.0,26200.0,26210.0,18341000,700,4,D,26007.0,26210.0
14,Dr..Abidi.Lab.,20010512,27520.0,27520.0,27520.0,27520.0,78349440,2847,19,D,26210.0,27520.0
15,Dr..Abidi.Lab.,20010513,27520.0,27520.0,27520.0,27520.0,7898240,287,5,D,27520.0,27520.0
16,Dr..Abidi.Lab.,20010529,33000.0,34000.0,32001.0,32001.0,27570121,828,6,D,27520.0,32001.0
17,Dr..Abidi.Lab.,20010530,33600.0,33601.0,32600.0,33601.0,105786658,3178,15,D,32001.0,33601.0
18,Dr..Abidi.Lab.,20010602,33602.0,33602.0,33602.0,33602.0,10080600,300,1,D,33601.0,33602.0
19,Dr..Abidi.Lab.,20010612,35279.0,35280.0,35279.0,35280.0,98607165,2795,16,D,33602.0,35280.0
20,Dr..Abidi.Lab.,20010613,35280.0,35281.0,35279.0,35279.0,53978580,1530,6,D,35280.0,35279.0
21,Dr..Abidi.Lab.,20010616,35275.0,35280.0,35275.0,35280.0,120405304,3413,15,D,35279.0,35280.0
22,Dr..Abidi.Lab.,20010618,35310.0,35324.0,35310.0,35324.0,51166052,1449,4,D,35280.0,35324.0
23,Dr..Abidi.Lab.,20010619,36160.0,36207.0,36160.0,36207.0,36704717,1015,10,D,35324.0,36207.0
24,Dr..Abidi.Lab.,20010620,36207.0,36228.0,36207.0,36228.0,21761814,601,5,D,36207.0,36228.0
25,Dr..Abidi.Lab.,20010626,37133.0,37133.0,37133.0,37133.0,48272900,1300,7,D,36228.0,37133.0
26,Dr..Abidi.Lab.,20010703,38989.0,38989.0,38989.0,38989.0,56923940,1460,7,D,37133.0,38989.0
27,Dr..Abidi.Lab.,20010708,39378.0,39378.0,39378.0,39378.0,125852088,3196,6,D,38989.0,39378.0
28,Dr..Abidi.Lab.,20010725,21000.0,22250.0,16200.0,22250.0,718472730,35757,59,D,39378.0,22250.0
29,Dr..Abidi.Lab.,20010728,22806.0,22806.0,22806.0,22806.0,67277700,2950,4,D,22250.0,22806.0
30,Dr..Abidi.Lab.,20010815,23034.0,23034.0,23034.0,23034.0,23034000,1000,1,D,22806.0,23034.0
31,Dr..Abidi.Lab.,20010821,23264.0,23264.0,23264.0,23264.0,23264000,1000,5,D,23034.0,23264.0
32,Dr..Abidi.Lab.,20010827,23496.0,23496.0,23496.0,23496.0,25939584,1104,12,D,23264.0,23496.0
33,Dr..Abidi.Lab.,20010901,23730.0,23730.0,23730.0,23730.0,23730000,1000,4,D,23496.0,23730.0
34,Dr..Abidi.Lab.,20010902,23967.0,23967.0,23967.0,23967.0,23967000,1000,2,D,23730.0,23967.0
35,Dr..Abidi.Lab.,20010903,24206.0,24206.0,24206.0,24206.0,24206000,1000,4,D,23967.0,24206.0
36,Dr..Abidi.Lab.,20010904,24448.0,24448.0,24448.0,24448.0,147543680,6035,25,D,24206.0,24448.0
37,Dr..Abidi.Lab.,20010905,24692.0,24692.0,24692.0,24692.0,30865000,1250,7,D,24448.0,24692.0
38,Dr..Abidi.Lab.,20010908,24938.0,24938.0,24938.0,24938.0,31172500,1250,3,D,24692.0,24938.0
39,Dr..Abidi.Lab.,20010909,25000.0,25187.0,25000.0,25187.0,5041016036,201428,48,D,24938.0,25187.0
40,Dr..Abidi.Lab.,20010910,25438.0,25438.0,24938.0,25437.0,905719036,35947,44,D,25187.0,25437.0
41,Dr..Abidi.Lab.,20010911,25431.0,25450.0,25430.0,25450.0,159879718,6286,22,D,25437.0,25450.0
42,Dr..Abidi.Lab.,20010912,25438.0,25438.0,25196.0,25196.0,54221128,2139,9,D,25450.0,25196.0
43,Dr..Abidi.Lab.,20010915,24945.0,24945.0,24945.0,24945.0,224505000,9000,13,D,25196.0,24945.0
44,Dr..Abidi.Lab.,20010919,24696.0,24945.0,24696.0,24945.0,602681280,24384,31,D,24945.0,24945.0
45,Dr..Abidi.Lab.,20010922,25000.0,25000.0,24999.0,24999.0,94896244,3796,16,D,24945.0,24999.0
46,Dr..Abidi.Lab.,20010923,24999.0,25000.0,24999.0,25000.0,78024800,3121,9,D,24999.0,25000.0
47,Dr..Abidi.Lab.,20010924,24999.0,24999.0,24999.0,24999.0,16249350,650,2,D,25000.0,24999.0
48,Dr..Abidi.Lab.,20010930,24999.0,24999.0,24750.0,24750.0,251249850,10150,24,D,24999.0,24750.0
49,Dr..Abidi.Lab.,20011003,24503.0,24503.0,24503.0,24503.0,24503000,1000,1,D,24750.0,24503.0
50,Dr..Abidi.Lab.,20011006,24258.0,24258.0,24258.0,24258.0,25495158,1051,3,D,24503.0,24258.0
51,Dr..Abidi.Lab.,20011007,24016.0,24500.0,24016.0,24500.0,425417650,17678,37,D,24258.0,24500.0
